#queryIndex	queryItem	stringId	preferredName	annotation
1	CTNNB1	9606.ENSP00000344456	CTNNB1	Catenin beta-1; Key downstream component of the canonical Wnt signaling pathway. In the absence of Wnt, forms a complex with AXIN1, AXIN2, APC, CSNK1A1 and GSK3B that promotes phosphorylation on N-terminal Ser and Thr residues and ubiquitination of CTNNB1 via BTRC and its subsequent degradation by the proteasome. In the presence of Wnt ligand, CTNNB1 is not ubiquitinated and accumulates in the nucleus, where it acts as a coactivator for transcription factors of the TCF/LEF family, leading to activate Wnt responsive genes. Involved in the regulation of cell adhesion, as component of an  [...] 
2	BCAR1	9606.ENSP00000391669	BCAR1	Breast cancer anti-estrogen resistance protein 1; Docking protein which plays a central coordinating role for tyrosine kinase-based signaling related to cell adhesion. Implicated in induction of cell migration. Overexpression confers antiestrogen resistance on breast cancer cells; Cas scaffolding proteins
3	CCNB1	9606.ENSP00000256442	CCNB1	G2/mitotic-specific cyclin-B1; Essential for the control of the cell cycle at the G2/M (mitosis) transition; Belongs to the cyclin family. Cyclin AB subfamily
4	GAPDH	9606.ENSP00000229239	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase; Has both glyceraldehyde-3-phosphate dehydrogenase and nitrosylase activities, thereby playing a role in glycolysis and nuclear functions, respectively. Participates in nuclear events including transcription, RNA transport, DNA replication and apoptosis. Nuclear functions are probably due to the nitrosylase activity that mediates cysteine S-nitrosylation of nuclear target proteins such as SIRT1, HDAC2 and PRKDC. Modulates the organization and assembly of the cytoskeleton. Facilitates the CHP1-dependent microtubule and membrane associations throu [...] 
5	MKI67	9606.ENSP00000357643	MKI67	Proliferation marker protein Ki-67; Required to maintain individual mitotic chromosomes dispersed in the cytoplasm following nuclear envelope disassembly. Associates with the surface of the mitotic chromosome, the perichromosomal layer, and covers a substantial fraction of the chromosome surface. Prevents chromosomes from collapsing into a single chromatin mass by forming a steric and electrostatic charge barrier: the protein has a high net electrical charge and acts as a surfactant, dispersing chromosomes and enabling independent chromosome motility. Binds DNA, with a preference for s [...] 
6	EIF4EBP1	9606.ENSP00000340691	EIF4EBP1	Eukaryotic translation initiation factor 4E-binding protein 1; Repressor of translation initiation that regulates EIF4E activity by preventing its assembly into the eIF4F complex: hypophosphorylated form competes with EIF4G1/EIF4G3 and strongly binds to EIF4E, leading to repress translation. In contrast, hyperphosphorylated form dissociates from EIF4E, allowing interaction between EIF4G1/EIF4G3 and EIF4E, leading to initiation of translation. Mediates the regulation of protein translation by hormones, growth factors and other stimuli that signal through the MAP kinase and mTORC1 pathways
7	AKT1	9606.ENSP00000451828	AKT1	RAC-alpha serine/threonine-protein kinase; AKT1 is one of 3 closely related serine/threonine- protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of th [...] 
8	AKT1	9606.ENSP00000451828	AKT1	RAC-alpha serine/threonine-protein kinase; AKT1 is one of 3 closely related serine/threonine- protein kinases (AKT1, AKT2 and AKT3) called the AKT kinase, and which regulate many processes including metabolism, proliferation, cell survival, growth and angiogenesis. This is mediated through serine and/or threonine phosphorylation of a range of downstream substrates. Over 100 substrate candidates have been reported so far, but for most of them, no isoform specificity has been reported. AKT is responsible of the regulation of glucose uptake by mediating insulin-induced translocation of th [...] 
9	PRKAB1	9606.ENSP00000229328	PRKAB1	5'-AMP-activated protein kinase subunit beta-1; Non-catalytic subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a reg [...] 
10	BTK	9606.ENSP00000483570	BTK	Tyrosine-protein kinase BTK; Non-receptor tyrosine kinase indispensable for B lymphocyte development, differentiation and signaling. Binding of antigen to the B-cell antigen receptor (BCR) triggers signaling that ultimately leads to B-cell activation. After BCR engagement and activation at the plasma membrane, phosphorylates PLCG2 at several sites, igniting the downstream signaling pathway through calcium mobilization, followed by activation of the protein kinase C (PKC) family members. PLCG2 phosphorylation is performed in close cooperation with the adapter protein B-cell linker prote [...] 
